soil_type,region,water_source,irrigation_source,season,sown,sowing_window,soil_ph,temp,waterrequired,relative_humidity,n,p,k,cropduration,seed_variety
loamy,Potohar,rainfed,mixed,rabi,Nov,optimal,6.7,22.1,487.0,50.6,91.6,40.2,57.2,86.4,Dilkash-20
silt loam,Canal Area,irrigated,tube well,rabi,Dec,late,6.2,21.6,537.9,58.8,117.8,47.7,49.3,82.8,Dilkash-20
loamy,Punjab North,rainfed,rainfed,rabi,Oct,early,6.3,23.1,573.8,52.0,113.1,51.2,50.4,87.0,Falak-24
loamy,Canal Area,irrigated,rainfed,rabi,Nov,optimal,6.2,22.7,514.9,58.5,97.9,59.9,41.9,88.0,Dilkash-20
loamy,Canal Area,rainfed,canal,rabi,Dec,late,6.9,21.8,478.8,55.1,100.9,48.0,58.2,83.4,Sawera-24
sandy loam,Punjab North,irrigated,canal,rabi,Oct,early,6.4,23.6,517.7,58.1,109.9,46.0,56.2,89.8,Falak-24
sandy loam,Punjab North,rainfed,tube well,rabi,Nov,optimal,6.9,23.4,561.9,59.3,80.1,42.3,50.5,83.8,Subhani-21
clay loam,Punjab North,irrigated,rainfed,rabi,Dec,late,6.4,21.6,581.9,50.2,95.4,58.0,45.8,81.2,Falak-24
clay loam,Punjab North,rainfed,rainfed,rabi,Oct,early,6.1,21.2,554.8,52.5,111.6,50.0,57.1,89.2,Falak-24
silt loam,Potohar,irrigated,canal,rabi,Nov,optimal,6.2,23.5,489.8,53.2,109.2,58.5,45.7,82.9,Dilkash-20
clay loam,South Punjab,rainfed,rainfed,rabi,Dec,late,6.6,23.3,586.6,52.3,101.0,52.6,58.6,83.8,Sawera-24
loamy,South Punjab,irrigated,mixed,rabi,Oct,early,6.5,22.1,511.4,54.4,94.2,54.4,40.5,89.6,Sawera-24
loamy,Punjab North,rainfed,canal,rabi,Nov,optimal,6.9,21.8,519.2,59.2,86.6,44.1,42.0,84.1,Subhani-21
sandy loam,South Punjab,irrigated,tube well,rabi,Dec,late,6.8,21.5,544.5,58.6,86.0,41.5,45.8,81.4,Sawera-24
loamy,South Punjab,rainfed,canal,rabi,Oct,early,6.1,22.1,512.7,54.7,84.3,42.3,58.3,81.5,Falak-24
silt loam,Punjab North,irrigated,rainfed,rabi,Nov,optimal,6.3,23.4,637.2,56.8,116.8,48.5,47.0,80.9,Falak-24
loamy,South Punjab,rainfed,tube well,rabi,Dec,late,6.9,22.8,588.7,58.9,109.8,50.7,51.3,85.2,Sawera-24
loamy,Canal Area,irrigated,canal,rabi,Oct,early,6.4,23.2,514.2,54.5,91.4,54.2,46.9,88.8,Dilkash-20
silt loam,Central Punjab,rainfed,mixed,rabi,Nov,optimal,6.9,21.8,491.1,54.2,95.2,48.4,59.1,83.6,Subhani-21
clay loam,Central Punjab,irrigated,mixed,rabi,Dec,late,6.6,23.9,642.9,54.0,107.8,56.0,51.7,85.3,Subhani-21
clay loam,Punjab North,rainfed,canal,rabi,Oct,early,6.4,23.0,458.8,52.5,104.6,40.8,53.5,86.2,Falak-24
silt loam,Potohar,irrigated,mixed,rabi,Nov,optimal,6.6,21.3,497.4,55.9,115.5,55.0,50.0,80.6,Arooj-22
sandy loam,Punjab North,rainfed,mixed,rabi,Dec,late,6.8,21.9,624.4,53.9,117.1,48.9,44.8,89.9,Sawera-24
loamy,Potohar,irrigated,mixed,rabi,Oct,early,6.7,23.0,550.0,56.6,89.9,46.3,49.5,83.5,Arooj-22
silt loam,Central Punjab,rainfed,tube well,rabi,Nov,optimal,6.2,21.8,483.5,57.9,86.1,47.9,54.6,89.0,Dilkash-20
loamy,Punjab North,irrigated,mixed,rabi,Dec,late,6.9,21.4,469.2,59.4,92.4,47.7,54.5,82.8,Sawera-24
sandy loam,Canal Area,rainfed,mixed,rabi,Oct,early,6.4,22.1,573.9,55.4,116.6,48.9,50.2,86.5,Arooj-22
loamy,South Punjab,irrigated,mixed,rabi,Nov,optimal,6.5,22.6,632.1,53.9,97.9,40.3,45.0,86.7,Dilkash-20
silt loam,Potohar,rainfed,tube well,rabi,Dec,late,6.6,23.8,590.3,51.0,89.1,56.5,57.2,88.8,Sawera-24
loamy,South Punjab,irrigated,canal,rabi,Oct,early,6.9,21.1,641.2,58.9,112.8,46.1,50.7,84.4,Sawera-24
clay loam,South Punjab,rainfed,rainfed,rabi,Nov,optimal,6.6,21.4,608.4,52.8,95.4,54.3,51.9,86.8,Subhani-21
sandy loam,Punjab North,irrigated,mixed,rabi,Dec,late,6.3,23.2,458.7,53.0,99.0,56.5,57.3,85.5,Sawera-24
sandy loam,South Punjab,rainfed,canal,rabi,Oct,early,6.1,22.2,642.3,58.9,104.9,57.2,59.2,83.7,Falak-24
sandy loam,Canal Area,irrigated,mixed,rabi,Nov,optimal,6.1,22.1,575.2,58.9,92.9,47.4,47.1,80.0,Dilkash-20
silt loam,South Punjab,rainfed,tube well,rabi,Dec,late,6.6,21.1,649.4,52.7,115.0,57.0,40.1,84.6,Sawera-24
sandy loam,Punjab North,irrigated,canal,rabi,Oct,early,6.2,23.5,555.5,54.4,102.4,55.3,45.1,84.1,Falak-24
clay loam,Canal Area,rainfed,tube well,rabi,Nov,optimal,6.5,21.7,484.3,58.4,98.6,43.7,45.1,85.9,Subhani-21
silt loam,Central Punjab,irrigated,mixed,rabi,Dec,late,6.3,21.3,586.8,56.5,115.4,55.2,46.7,89.3,Dilkash-20
clay loam,South Punjab,rainfed,mixed,rabi,Oct,early,6.6,21.8,454.6,51.5,88.3,43.5,53.1,87.1,Sawera-24
loamy,Punjab North,irrigated,tube well,rabi,Nov,optimal,6.5,22.5,602.5,54.2,111.3,46.1,42.8,89.7,Subhani-21
loamy,Central Punjab,rainfed,rainfed,rabi,Dec,late,6.7,22.0,472.8,51.6,93.2,54.3,55.1,85.4,Sawera-24
loamy,Central Punjab,irrigated,tube well,rabi,Oct,early,6.4,23.9,631.8,55.3,89.5,48.7,52.7,89.9,Subhani-21
loamy,Potohar,rainfed,mixed,rabi,Nov,optimal,7.0,22.8,512.2,57.5,81.4,53.2,47.1,86.1,Dilkash-20
clay loam,Canal Area,irrigated,tube well,rabi,Dec,late,6.3,22.9,548.1,55.1,105.7,53.4,45.7,87.6,Sawera-24
silt loam,South Punjab,rainfed,rainfed,rabi,Oct,early,6.5,21.3,567.5,50.4,95.5,45.3,45.7,89.4,Arooj-22
silt loam,Punjab North,irrigated,tube well,rabi,Nov,optimal,6.8,23.4,647.0,52.1,105.6,47.9,40.2,83.5,Subhani-21
sandy loam,Potohar,rainfed,rainfed,rabi,Dec,late,6.3,22.1,644.4,54.3,95.3,53.7,45.1,83.4,Arooj-22
clay loam,Canal Area,irrigated,rainfed,rabi,Oct,early,6.8,23.3,643.6,53.2,83.8,44.9,56.5,86.1,Subhani-21
loamy,Potohar,rainfed,tube well,rabi,Nov,optimal,6.1,22.3,571.6,54.4,115.4,44.1,48.2,86.5,Dilkash-20
clay loam,Canal Area,irrigated,tube well,rabi,Dec,late,6.1,22.9,584.1,55.5,113.1,59.0,51.7,88.2,Sawera-24
sandy loam,Canal Area,rainfed,canal,rabi,Oct,early,6.4,23.0,565.7,59.4,105.9,49.3,50.9,82.5,Dilkash-20
sandy loam,South Punjab,irrigated,mixed,rabi,Nov,optimal,6.6,22.7,450.0,51.8,88.9,41.7,50.5,83.2,Sawera-24
clay loam,Canal Area,rainfed,rainfed,rabi,Dec,late,6.7,21.6,573.1,51.3,94.3,46.7,55.3,87.1,Sawera-24
clay loam,Potohar,irrigated,canal,rabi,Oct,early,6.2,22.1,480.4,54.0,108.4,40.6,45.5,86.0,Falak-24
clay loam,Canal Area,rainfed,tube well,rabi,Nov,optimal,6.6,21.3,571.0,55.4,89.2,58.3,48.6,82.4,Subhani-21
silt loam,South Punjab,irrigated,mixed,rabi,Dec,late,6.4,21.5,584.9,59.8,97.2,42.3,58.4,86.4,Sawera-24
loamy,South Punjab,rainfed,canal,rabi,Oct,early,7.0,22.6,585.2,51.4,89.0,43.6,44.0,82.8,Sawera-24
clay loam,Potohar,irrigated,rainfed,rabi,Nov,optimal,6.1,21.6,590.1,55.8,108.3,49.5,48.5,86.9,Arooj-22
clay loam,Central Punjab,rainfed,canal,rabi,Dec,late,6.2,23.2,611.7,50.3,116.3,57.8,40.4,83.2,Subhani-21
clay loam,Central Punjab,irrigated,rainfed,rabi,Oct,early,6.9,23.5,514.0,52.2,85.5,57.2,51.7,86.1,Subhani-21
sandy loam,Canal Area,rainfed,tube well,rabi,Nov,optimal,6.2,23.9,613.8,55.3,104.5,57.2,60.0,80.4,Dilkash-20
sandy loam,Punjab North,irrigated,mixed,rabi,Dec,late,6.2,23.2,556.5,53.5,99.6,59.1,52.9,80.3,Sawera-24
silt loam,Canal Area,rainfed,mixed,rabi,Oct,early,6.8,22.0,629.9,57.5,87.2,53.2,42.1,89.2,Dilkash-20
loamy,Potohar,irrigated,mixed,rabi,Nov,optimal,6.8,22.4,455.5,55.8,105.4,42.3,47.8,85.0,Dilkash-20
silt loam,Potohar,rainfed,tube well,rabi,Dec,late,6.6,22.5,532.9,52.4,94.1,56.5,40.5,81.1,Falak-24
loamy,Potohar,irrigated,rainfed,rabi,Oct,early,6.5,22.5,558.3,59.2,84.7,52.4,55.6,84.6,Arooj-22
sandy loam,Potohar,rainfed,tube well,rabi,Nov,optimal,6.6,22.9,459.9,57.3,89.1,47.4,47.6,85.3,Arooj-22
sandy loam,Potohar,irrigated,mixed,rabi,Dec,late,6.7,21.5,628.7,58.6,89.0,52.5,47.6,84.9,Arooj-22
sandy loam,South Punjab,rainfed,tube well,rabi,Oct,early,6.7,22.6,560.4,54.3,104.4,40.1,44.4,87.5,Sawera-24
silt loam,Central Punjab,irrigated,tube well,rabi,Nov,optimal,6.8,22.1,612.6,52.7,103.4,52.1,52.5,88.6,Subhani-21
clay loam,Potohar,rainfed,tube well,rabi,Dec,late,6.2,22.4,589.1,56.4,114.7,41.3,44.5,83.7,Subhani-21
clay loam,Punjab North,irrigated,rainfed,rabi,Oct,early,6.9,22.0,482.6,58.1,114.0,45.4,52.6,87.7,Falak-24
sandy loam,Punjab North,rainfed,canal,rabi,Nov,optimal,6.9,22.7,466.5,56.6,80.0,54.6,50.1,81.5,Subhani-21
clay loam,Punjab North,irrigated,canal,rabi,Dec,late,6.4,21.4,590.2,59.6,97.8,59.4,42.0,80.6,Falak-24
clay loam,Punjab North,rainfed,tube well,rabi,Oct,early,6.4,22.9,618.2,52.5,105.7,40.4,40.9,87.3,Falak-24
silt loam,South Punjab,irrigated,canal,rabi,Nov,optimal,6.4,23.7,499.8,54.8,89.8,47.4,56.6,86.8,Dilkash-20
loamy,Punjab North,rainfed,canal,rabi,Dec,late,6.2,23.3,484.5,56.9,116.5,49.1,43.9,87.0,Sawera-24
sandy loam,Potohar,irrigated,tube well,rabi,Oct,early,6.2,21.4,629.5,51.9,109.9,51.8,41.7,81.6,Arooj-22
sandy loam,Canal Area,rainfed,tube well,rabi,Nov,optimal,6.7,23.2,478.5,50.9,95.2,54.0,46.5,85.7,Dilkash-20
silt loam,Punjab North,irrigated,mixed,rabi,Dec,late,6.5,22.2,610.7,55.4,103.1,54.6,50.2,85.6,Falak-24
silt loam,South Punjab,rainfed,canal,rabi,Oct,early,6.9,21.2,605.0,59.1,83.4,40.5,49.9,83.3,Falak-24
clay loam,South Punjab,irrigated,rainfed,rabi,Nov,optimal,6.2,21.7,510.4,58.1,82.1,43.1,54.8,88.6,Dilkash-20
sandy loam,Punjab North,rainfed,tube well,rabi,Dec,late,6.1,21.1,473.9,59.8,103.1,45.3,44.9,80.9,Falak-24
loamy,Canal Area,irrigated,mixed,rabi,Oct,early,6.9,21.7,483.7,51.3,112.9,44.4,50.1,85.1,Dilkash-20
silt loam,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.9,22.0,622.8,55.9,112.5,44.9,58.9,81.6,Falak-24
loamy,South Punjab,irrigated,canal,rabi,Dec,late,6.1,21.5,485.7,53.8,98.5,57.3,42.4,81.5,Sawera-24
loamy,Central Punjab,rainfed,mixed,rabi,Oct,early,6.5,21.2,602.2,51.0,109.4,47.9,47.7,88.0,Dilkash-20
sandy loam,Potohar,irrigated,tube well,rabi,Nov,optimal,6.5,22.7,637.1,56.4,112.1,52.3,44.9,80.5,Arooj-22
sandy loam,South Punjab,rainfed,rainfed,rabi,Dec,late,6.3,23.9,474.9,59.0,81.3,41.4,47.9,86.8,Sawera-24
silt loam,Punjab North,irrigated,tube well,rabi,Oct,early,6.7,22.6,490.0,57.1,112.0,58.9,50.8,83.8,Falak-24
sandy loam,Potohar,rainfed,canal,rabi,Nov,optimal,6.7,22.3,463.9,59.5,83.3,58.1,41.5,83.7,Arooj-22
sandy loam,Punjab North,irrigated,rainfed,rabi,Dec,late,6.7,22.8,614.5,57.2,87.4,43.5,53.8,87.0,Sawera-24
sandy loam,Punjab North,rainfed,canal,rabi,Oct,early,6.9,23.0,584.0,58.0,87.7,51.9,59.1,88.8,Falak-24
loamy,Central Punjab,irrigated,canal,rabi,Nov,optimal,6.5,21.3,472.4,55.8,98.1,50.3,55.6,89.7,Dilkash-20
silt loam,Potohar,rainfed,mixed,rabi,Dec,late,6.3,23.9,533.3,57.9,99.5,41.9,57.2,83.6,Arooj-22
clay loam,Potohar,irrigated,tube well,rabi,Oct,early,6.8,21.7,578.0,51.1,120.0,40.2,59.7,90.0,Falak-24
loamy,Central Punjab,rainfed,rainfed,rabi,Nov,optimal,6.7,22.1,487.3,53.1,98.8,51.7,41.6,83.0,Dilkash-20
sandy loam,South Punjab,irrigated,canal,rabi,Dec,late,6.6,22.1,578.8,50.6,100.4,40.7,51.7,85.1,Sawera-24
loamy,Punjab North,rainfed,canal,rabi,Oct,early,6.3,22.5,480.7,52.9,97.2,54.7,47.4,87.7,Falak-24
sandy loam,Canal Area,irrigated,rainfed,rabi,Nov,optimal,6.2,23.3,493.7,55.8,114.4,52.9,55.4,84.4,Arooj-22
sandy loam,Punjab North,rainfed,canal,rabi,Dec,late,6.9,22.4,635.3,54.6,96.5,43.6,46.3,87.9,Sawera-24
loamy,Punjab North,irrigated,mixed,rabi,Oct,early,6.3,23.2,589.9,54.2,116.3,48.9,43.3,85.7,Falak-24
silt loam,South Punjab,rainfed,mixed,rabi,Nov,optimal,6.0,23.2,570.5,53.1,80.6,59.8,47.1,85.4,Sawera-24
sandy loam,Punjab North,irrigated,mixed,rabi,Dec,late,6.8,23.7,619.1,56.1,114.5,43.1,46.3,82.9,Sawera-24
silt loam,Central Punjab,rainfed,mixed,rabi,Oct,early,6.8,21.2,494.5,53.2,96.1,52.5,52.0,86.3,Falak-24
clay loam,Central Punjab,irrigated,canal,rabi,Nov,optimal,6.5,23.8,539.1,51.2,84.8,58.9,44.1,88.0,Subhani-21
sandy loam,Potohar,rainfed,rainfed,rabi,Dec,late,6.1,23.9,640.5,52.7,115.2,54.6,59.2,82.5,Arooj-22
silt loam,Canal Area,irrigated,rainfed,rabi,Oct,early,6.5,23.7,594.7,59.4,93.0,58.9,44.7,81.4,Arooj-22
silt loam,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.4,21.6,545.1,54.1,92.6,55.1,55.7,80.9,Falak-24
clay loam,Punjab North,irrigated,rainfed,rabi,Dec,late,6.3,22.3,618.9,56.4,112.0,47.9,57.3,87.5,Falak-24
silt loam,South Punjab,rainfed,tube well,rabi,Oct,early,6.2,21.1,544.7,51.2,110.5,50.7,40.7,85.6,Falak-24
silt loam,Central Punjab,irrigated,rainfed,rabi,Nov,optimal,6.8,22.2,558.8,56.2,94.3,43.5,49.0,80.6,Dilkash-20
clay loam,Canal Area,rainfed,tube well,rabi,Dec,late,6.3,22.2,594.4,57.0,102.6,51.1,58.6,89.2,Dilkash-20
sandy loam,Potohar,irrigated,tube well,rabi,Oct,early,6.2,23.3,557.9,55.1,104.2,43.4,46.2,86.4,Arooj-22
silt loam,Central Punjab,rainfed,mixed,rabi,Nov,optimal,6.2,22.6,512.1,56.2,96.3,42.5,41.8,84.5,Dilkash-20
silt loam,Potohar,irrigated,tube well,rabi,Dec,late,6.9,21.2,576.5,57.8,112.4,51.5,59.7,83.3,Falak-24
silt loam,South Punjab,rainfed,canal,rabi,Oct,early,6.7,21.1,620.3,51.7,111.2,45.1,57.9,82.2,Falak-24
loamy,South Punjab,irrigated,tube well,rabi,Nov,optimal,6.7,21.3,534.2,54.0,111.0,41.6,41.9,83.3,Dilkash-20
clay loam,Punjab North,rainfed,mixed,rabi,Dec,late,6.0,23.0,525.8,56.3,103.0,46.9,44.1,88.6,Subhani-21
